n_estimators,eta,min_child_weight,max_depth,colsample_bytree,subsample
100,0.05,1,8,0.9,0.9
100,0.05,4,3,0.9,0.8
100,0.05,5,4,0.9,0.8
100,0.05,1,4,0.9,0.8
100,0.05,4,8,0.8,0.8
100,0.05,2,8,0.8,0.8
100,0.05,2,6,0.9,0.8
100,0.05,1,8,0.9,0.8
100,0.05,1,8,0.8,0.8
100,0.05,1,3,0.8,0.9
100,0.05,3,8,0.8,0.8
100,0.05,1,6,0.9,0.9
100,0.05,1,3,0.8,0.8
100,0.05,3,3,0.9,0.8
100,0.05,3,8,0.8,0.8
100,0.05,1,8,0.8,0.8
100,0.05,1,4,0.9,0.9
100,0.05,1,5,0.8,0.8
100,0.05,1,8,0.9,0.9
100,0.05,7,7,0.9,0.8
100,0.05,2,3,0.9,0.9
100,0.05,3,3,0.9,0.8
100,0.05,1,7,0.8,0.8
100,0.05,7,8,0.8,0.8
100,0.05,4,5,0.9,0.8
100,0.05,1,7,0.9,0.8
100,0.05,3,8,0.9,0.9
100,0.05,1,7,0.8,0.8
100,0.05,7,8,0.8,0.8
100,0.05,7,8,0.8,0.9
100,0.05,2,5,0.8,0.8
100,0.05,1,7,0.9,0.9
100,0.05,7,8,0.8,0.9
100,0.05,1,7,0.8,0.9
100,0.05,1,7,0.9,0.9
100,0.05,5,4,0.9,0.9
100,0.05,5,5,0.9,0.8
100,0.05,3,5,0.8,0.8
100,0.05,3,6,0.8,0.9
100,0.05,3,4,0.9,0.9
100,0.05,7,6,0.8,0.8
100,0.05,1,8,0.8,0.9
100,0.05,7,6,0.8,0.9
100,0.05,2,8,0.8,0.8
100,0.05,7,6,0.8,0.9
100,0.05,2,5,0.8,0.8
100,0.05,1,8,0.8,0.8
100,0.05,1,7,0.8,0.8
100,0.05,1,8,0.8,0.9
100,0.05,1,7,0.8,0.9
100,0.05,1,8,0.8,0.8
100,0.05,5,4,0.9,0.8
100,0.05,1,5,0.9,0.9
100,0.05,7,8,0.9,0.8
100,0.05,1,6,0.8,0.9
100,0.05,1,8,0.8,0.9
100,0.05,2,4,0.8,0.8
100,0.05,5,7,0.9,0.9
100,0.05,3,6,0.9,0.9
100,0.05,1,5,0.8,0.9
100,0.05,7,8,0.8,0.9
100,0.05,2,8,0.8,0.8
100,0.05,1,5,0.8,0.9
100,0.05,5,6,0.8,0.9
100,0.05,7,8,0.9,0.8
100,0.05,3,8,0.9,0.9
100,0.05,4,8,0.9,0.8
100,0.05,5,8,0.8,0.8
100,0.05,1,4,0.8,0.8
100,0.05,7,8,0.9,0.9
100,0.05,1,8,0.8,0.9
100,0.05,7,8,0.8,0.8
100,0.05,4,5,0.8,0.9
100,0.05,7,7,0.9,0.9
100,0.05,1,3,0.8,0.9
100,0.05,6,4,0.8,0.9
100,0.05,1,5,0.9,0.9
100,0.05,4,8,0.8,0.8
100,0.05,3,6,0.8,0.8
100,0.05,3,5,0.9,0.9
100,0.05,1,7,0.8,0.8
100,0.05,4,5,0.8,0.8
100,0.05,1,5,0.9,0.8
100,0.05,4,8,0.8,0.8
100,0.05,6,8,0.9,0.8
100,0.05,2,5,0.8,0.9
100,0.05,7,6,0.9,0.8
100,0.05,7,7,0.8,0.8
100,0.05,7,6,0.9,0.8
100,0.05,1,8,0.8,0.9
100,0.05,7,6,0.8,0.9
100,0.05,7,8,0.8,0.9
100,0.05,2,6,0.8,0.8
100,0.05,1,7,0.8,0.8
100,0.05,7,6,0.8,0.8
100,0.05,3,3,0.8,0.8
100,0.05,4,7,0.9,0.9
100,0.05,2,3,0.8,0.8
100,0.05,1,7,0.8,0.8
100,0.05,1,8,0.8,0.8
